datetime	SOLA01	SOLA02	SOLA03
2012-01-01 00:00:00	0	0.0	
2012-01-01 00:30:00	0	0.0	
2012-01-01 01:00:00	0	0.0	
2012-01-01 01:30:00	0	0.0	
2012-01-01 02:00:00	0	0.0	
2012-01-01 02:30:00	0	0.0	
2012-01-01 03:00:00	0	0.0	
2012-01-01 03:30:00	0	0.0	
2012-01-01 04:00:00	0	0.0	
2012-01-01 04:30:00	0	0.0	
2012-01-01 05:00:00	0	0.0	
2012-01-01 05:30:00	0	0.0	
2012-01-01 06:00:00	0	0.0	
2012-01-01 06:30:00	0	0.0	
2012-01-01 07:00:00	15	0.0	
2012-01-01 07:30:00	180	340.0	
2012-01-01 08:00:00	527	840.0	
2012-01-01 08:30:00	670	1110.0	
2012-01-01 09:00:00	904	1680.0	
2012-01-01 09:30:00	911	1730.0	
2012-01-01 10:00:00	1705	2920.0	
2012-01-01 10:30:00	1754	3090.0	
2012-01-01 11:00:00	1696	2900.0	
2012-01-01 11:30:00	1908	3300.0	
2012-01-01 12:00:00	1756	3160.0	
2012-01-01 12:30:00	1665	2770.0	
2012-01-01 13:00:00	1805	2980.0	
2012-01-01 13:30:00	1381	2080.0	
2012-01-01 14:00:00	1143	1910.0	
2012-01-01 14:30:00	944	1680.0	
2012-01-01 15:00:00	331	610.0	
2012-01-01 15:30:00	130	250.0	
2012-01-01 16:00:00	9	10.0	
2012-01-01 16:30:00	0	0.0	
2012-01-01 17:00:00	0	0.0	
2012-01-01 17:30:00	0	0.0	
2012-01-01 18:00:00	0	0.0	
2012-01-01 18:30:00	0	0.0	
2012-01-01 19:00:00	0	0.0	
2012-01-01 19:30:00	0	0.0	
2012-01-01 20:00:00	0	0.0	
2012-01-01 20:30:00	0	0.0	
2012-01-01 21:00:00	0	0.0	
2012-01-01 21:30:00	0	0.0	
2012-01-01 22:00:00	0	0.0	
2012-01-01 22:30:00	0	0.0	
2012-01-01 23:00:00	0	0.0	
2012-01-01 23:30:00	0	0.0	
2012-01-02 00:00:00	0	0.0	
2012-01-02 00:30:00	0	0.0	
2012-01-02 01:00:00	0	0.0	
2012-01-02 01:30:00	0	0.0	
2012-01-02 02:00:00	0	0.0	
2012-01-02 02:30:00	0	0.0	
2012-01-02 03:00:00	0	0.0	
2012-01-02 03:30:00	0	0.0	
2012-01-02 04:00:00	0	0.0	
2012-01-02 04:30:00	0	0.0	
2012-01-02 05:00:00	0	0.0	
2012-01-02 05:30:00	0	0.0	
2012-01-02 06:00:00	0	0.0	
2012-01-02 06:30:00	0	0.0	
2012-01-02 07:00:00	0	0.0	
2012-01-02 07:30:00	14	0.0	
2012-01-02 08:00:00	49	20.0	
2012-01-02 08:30:00	171	390.0	
2012-01-02 09:00:00	355	630.0	
2012-01-02 09:30:00	927	1540.0	
2012-01-02 10:00:00	1692	2240.0	
2012-01-02 10:30:00	1586	3460.0	
2012-01-02 11:00:00	1951	3640.0	
2012-01-02 11:30:00	928	1480.0	
2012-01-02 12:00:00	1001	1680.0	
2012-01-02 12:30:00	1221	1910.0	
2012-01-02 13:00:00	1979	3340.0	
