date	weather	weather_detail	wind	wave	pc_00-06	pc_06-12	pc_12-18	pc_18-24	we_00-03	we_03-06	we_06-09	we_09-12	we_12-15	we_15-18	we_18-21	we_21-24	wv_00-03	wv_03-06	wv_06-09	wv_09-12	wv_12-15	wv_15-18	wv_18-21	wv_21-24	wc_00-03	wc_03-06	wc_06-09	wc_09-12	wc_12-15	wc_15-18	wc_18-21	wc_21-24	min_tp	max_tp	tp_00-03	tp_03-06	tp_06-09	tp_09-12	tp_12-15	tp_15-18	tp_18-21	tp_21-24
2012-01-01	くもり	くもり　所により　朝晩　雨か雪	北の風　後　南西の風	０．５メートル　後　１メートル	30	30	10	30	くもり	くもり	くもり	くもり	くもり	くもり	くもり	晴れ	北	北	北	南西	南西	南西	南西	西	2	2	2	2	3	3	3	2	3	10	5	4	4	6	9	10	9	9
2012-01-02	くもり後晴れ	くもり　昼前　から　晴れ	北の風　日中　やや強く	１メートル　後　１．５メートル	20	20	10	10	くもり	くもり	くもり	晴れ	晴れ	晴れ	晴れ	くもり	北	北	北	北	北	北	北	北	2	2	3	4	4	4	3	2	5	11	8	7	6	7	10	10	8	6
2012-01-03	晴れ後くもり	晴れ　昼過ぎ　から　くもり	北の風　やや強く	１メートル　後　０．５メートル	0	0	10	10	晴れ	晴れ	晴れ	晴れ	くもり	くもり	くもり	くもり	北西	北	北	北	東	北東	北東	北	4	4	4	2	1	1	1	2	2	9	4	3	3	4	8	9	7	6
2012-01-04	晴れ後くもり	晴れ　昼過ぎ　から　くもり　所により　夕方　雨か雪	北の風　日中　西の風　海上　では　西の風　やや強く	１メートル　後　２メートル	10	10	30	20	くもり	晴れ	晴れ	晴れ	くもり	くもり	くもり	くもり	北	北	北	西	西	北	北	北	2	1	2	2	2	3	3	2	2	10	5	4	3	5	9	10	5	4
2012-01-05	晴れ	晴れ	北の風　はじめ　やや強く	１．５メートル　後　１メートル	10	0	0	0	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	北	北	北	北	北西	北西	北	北	4	4	2	2	2	2	2	2	1	8	3	2	1	3	7	7	5	4
2012-01-06	晴れ時々くもり	晴れ　時々　くもり	北の風　日中　南東の風	０．５メートル	0	10	10	10	晴れ	晴れ	くもり	くもり	くもり	晴れ	くもり	晴れ	北	北	北	北	南東	南東	北	北	2	2	2	2	2	1	1	2	2	9	3	2	2	4	8	8	7	6
2012-01-07	くもり後晴れ	くもり　昼過ぎ　から　晴れ	北の風　やや強く	１メートル	10	10	0	0	くもり	くもり	くもり	くもり	晴れ	晴れ	晴れ	晴れ	北	北	北	北	北	北	北	北	4	4	4	4	3	3	3	3	3	9	5	4	3	4	7	8	6	4
2012-01-08	晴れ時々くもり	晴れ　時々　くもり	北の風　日中　東の風	１メートル　後　０．５メートル	10	10	10	10	晴れ	くもり	くもり	晴れ	くもり	晴れ	晴れ	くもり	北	北	北	北	東	東	北	北	3	3	2	2	2	1	1	2	1	9	3	2	1	3	7	8	7	5
2012-01-09	くもり後晴れ	くもり　昼前　から　晴れ	北の風　日中　北東の風	０．５メートル　後　１メートル	10	10	0	10	くもり	くもり	くもり	晴れ	晴れ	晴れ	くもり	晴れ	北	北	北	北東	北東	東	北東	北	2	2	2	1	2	2	1	2	3	11	5	4	3	5	9	11	9	7
2012-01-10	晴れ時々くもり	晴れ　時々　くもり	北の風　日中　東の風	１メートル	10	0	10	10	くもり	晴れ	晴れ	くもり	晴れ	晴れ	くもり	くもり	北	北	北	北	東	東	北	北	2	2	2	2	2	1	1	2	4	10	6	5	4	5	8	9	8	7
2012-01-11	くもり時々晴れ	くもり　朝晩　晴れ　所により　昼過ぎ　から　夕方　雨	北の風　後　やや強く	１メートル　後　１．５メートル	10	10	30	20	晴れ	くもり	晴れ	くもり	くもり	くもり	くもり	晴れ	北	北	北	北	北東	北	北	北	2	2	2	2	2	4	4	4	3	9	6	5	4	5	8	8	6	3
2012-01-12	晴れ後くもり	晴れ　夕方　から　くもり	北の風　後　東の風　海上　では　北の風　やや強く	１．５メートル　後　１メートル	0	0	10	10	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	くもり	北	北	北	北	東	東	東	北	3	3	2	2	2	2	2	2	0	6	2	1	0	1	4	5	4	3
2012-01-13	晴れ	晴れ	北の風　海上　では　西の風　やや強く	０．５メートル　後　１メートル	10	0	10	10	くもり	晴れ	晴れ	晴れ	晴れ	くもり	晴れ	晴れ	北	北	北	北	南	南西	北	北	2	1	1	1	1	1	1	2	2	12	2	2	2	5	9	10	9	8
2012-01-14	晴れ時々くもり	晴れ　時々　くもり	北の風　日中　東の風　海上　では　北の風　やや強く	１メートル　後　０．５メートル	10	10	10	0	晴れ	晴れ	くもり	晴れ	くもり	くもり	晴れ	晴れ	北	北	北	北	東	東	北東	北	2	2	2	2	2	1	1	2	2	8	6	4	3	4	7	7	6	5
2012-01-15	晴れ後くもり	晴れ　夕方　から　くもり	北の風　日中　東の風	１メートル	0	0	10	10	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	くもり	北	北	北	東	東	東	北	北	2	2	2	2	2	2	1	2	1	8	4	3	2	3	7	8	7	6
2012-01-16	くもり後晴れ	くもり　夕方　から　晴れ	北の風　日中　北東の風　海上　では　北の風　やや強く	１メートル	10	0	10	10	くもり	くもり	くもり	くもり	くもり	晴れ	晴れ	晴れ	北	北	北	北	北東	北東	北	北	2	2	2	3	3	3	3	3	2	7	5	4	3	4	6	7	6	5
