date	weather	weather_detail	wind	wave	pc_00-06	pc_06-12	pc_12-18	pc_18-24	we_00-03	we_03-06	we_06-09	we_09-12	we_12-15	we_15-18	we_18-21	we_21-24	wv_00-03	wv_03-06	wv_06-09	wv_09-12	wv_12-15	wv_15-18	wv_18-21	wv_21-24	wc_00-03	wc_03-06	wc_06-09	wc_09-12	wc_12-15	wc_15-18	wc_18-21	wc_21-24	min_tp	max_tp	tp_00-03	tp_03-06	tp_06-09	tp_09-12	tp_12-15	tp_15-18	tp_18-21	tp_21-24
2012-01-01	くもり後時々晴れ	くもり　昼過ぎ　から　時々　晴れ	南西の風　後　北西の風		10	10	10	20	くもり	くもり	くもり	くもり	晴れ	くもり	晴れ	くもり	南西	南西	南西	南西	南西	北西	北西	北西	2	2	2	2	2	2	2	2	-1	9	1	0	0	2	6	8	7	5
2012-01-02	晴れ時々くもり	晴れ　朝晩　くもり	北西の風　日中　やや強く		10	10	0	10	くもり	くもり	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	西	北西	北西	北西	北西	北西	北西	北西	2	2	3	4	4	4	3	2	-1	9	3	1	1	5	8	9	5	2
2012-01-03	晴れ後くもり	晴れ　夕方　から　くもり	北西の風		10	0	10	10	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	くもり	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	2	2	2	2	2	-3	9	-1	-1	-2	2	7	9	4	2
2012-01-04	晴れ時々くもり	晴れ　時々　くもり	北西の風　後　やや強く		10	10	20	10	くもり	晴れ	晴れ	晴れ	くもり	くもり	晴れ	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	1	1	1	2	3	4	4	1	-2	8	2	-1	-1	1	6	8	5	1
2012-01-05	晴れ	晴れ	北西の風　日中　やや強く		0	0	0	0	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	1	1	2	2	3	4	2	1	-4	8	-1	-3	-4	-2	7	7	3	1
2012-01-06	晴れ後時々くもり	晴れ　昼過ぎ　から　時々　くもり	北西の風		0	0	10	10	晴れ	晴れ	晴れ	晴れ	くもり	晴れ	くもり	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	2	2	2	3	2	-6	8	-1	-3	-5	0	6	7	6	4
2012-01-07	晴れ	晴れ	北西の風		10	10	0	10	くもり	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	2	3	3	2	2	-4	8	1	-2	-3	1	6	7	3	1
2012-01-08	晴れ後時々くもり	晴れ　昼過ぎ　から　時々　くもり	北西の風		0	10	10	10	晴れ	晴れ	晴れ	晴れ	くもり	晴れ	くもり	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	2	2	2	2	2	-6	8	-2	-4	-6	-1	6	7	4	2
2012-01-09	晴れ時々くもり	晴れ　昼前　まで　時々　くもり	南西の風　後　北西の風		10	10	0	0	晴れ	くもり	晴れ	くもり	晴れ	晴れ	晴れ	晴れ	南西	北	南西	西	北西	北西	北西	北西	1	1	2	2	3	3	2	2	-2	11	0	-1	-1	1	8	11	8	4
2012-01-10	晴れ時々くもり	晴れ　朝晩　くもり	北西の風　日中　西の風		0	0	10	10	晴れ	くもり	晴れ	晴れ	晴れ	晴れ	くもり	くもり	北西	北西	西	西	西	西	北西	北西	1	1	1	1	1	1	1	1	-3	10	1	-1	-2	1	7	9	6	4
2012-01-11	晴れ時々くもり	晴れ　時々　くもり	北西の風　後　やや強く		10	10	20	10	くもり	くもり	晴れ	晴れ	くもり	くもり	晴れ	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	2	3	4	4	2	0	11	2	1	1	3	10	9	6	2
2012-01-12	晴れ	晴れ	北西の風　後　南西の風		0	0	0	10	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	北西	北西	北西	北西	北西	南西	南西	南西	2	2	2	2	2	2	2	2	-6	6	-2	-4	-5	-2	4	6	3	1
2012-01-13	晴れ	晴れ　夕方　から　夜のはじめ頃　くもり	北西の風		0	0	10	10	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	2	2	2	2	3	3	2	2	-3	11	0	-1	-2	1	7	10	6	4
2012-01-14	晴れ	晴れ	北西の風		10	0	10	0	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	1	1	1	1	3	3	2	1	-4	9	1	-2	-4	-1	5	9	5	2
2012-01-15	晴れ後時々くもり	晴れ　昼過ぎ　から　時々　くもり	北西の風		0	0	10	10	晴れ	晴れ	晴れ	晴れ	くもり	晴れ	くもり	晴れ	北西	北西	北西	北西	北西	北西	北西	北西	1	1	2	1	2	3	3	2	-4	10	1	-2	-3	0	6	9	7	4
2012-01-16	くもり後晴れ	くもり　夕方　から　晴れ	北西の風　日中　南西の風		10	10	10	0	くもり	くもり	くもり	晴れ	くもり	晴れ	晴れ	晴れ	北西	北西	北西	南西	南西	北西	北西	北西	2	2	2	2	2	2	2	2	-2	9	2	0	-1	1	6	9	6	3
2012-01-17	晴れ時々くもり	晴れ　朝晩　くもり　峡南地域　では　未明　雪	北の風　日中　南の風		30	10	10	10	くもり	くもり	晴れ	晴れ	晴れ	晴れ	くもり	くもり	北	北	北	南	南	南	北	北	2	2	2	2	2	2	2	2	-2	9	1	-1	-2	1	5	9	5	3
2012-01-18	晴れ	晴れ　夕方　から　夜のはじめ頃　くもり	北西の風　日中　南西の風		0	0	10	10	晴れ	晴れ	晴れ	晴れ	晴れ	くもり	くもり	晴れ	北西	北西	南西	南西	南西	南西	北西	北西	2	2	2	2	2	2	2	2	-2	7	1	-1	-1	1	4	7	5	4
